WF_Type,Task_id,Exec_Time,CPU,Mem
j_783,4,13,1.17,80.0
j_783,9,256,0.02,60.0
j_783,7,253,0.09,840.0
j_783,8,255,0.03,20.0
j_783,4,11,1.45,200.0
j_783,9,256,0.03,60.0
j_783,5,32,0.54,70.0
j_783,5,32,0.53,70.0
j_783,7,253,0.09,840.0
j_783,7,255,0.08,840.0
j_783,9,256,0.03,60.0
j_783,2,165,0.62,330.0
j_783,7,252,0.09,840.0
j_783,6,47,0.44,60.0
j_783,1,85,0.83,350.0
j_783,5,30,0.54,70.0
j_783,4,10,1.42,80.0
j_783,6,49,0.44,60.0
j_783,5,32,0.5,70.0
j_783,7,248,0.07,840.0
j_783,9,256,0.03,60.0
j_783,6,46,0.44,50.0
j_783,8,255,0.02,20.0
j_783,8,255,0.02,20.0
j_783,9,256,0.02,60.0
j_783,6,48,0.53,70.0
j_783,4,21,1.46,120.0
j_783,7,255,0.08,830.0
j_783,4,10,1.43,80.0
j_783,7,253,0.08,830.0
j_783,9,256,0.02,60.0
j_783,8,256,0.02,20.0
j_783,5,30,0.5,80.0
j_783,8,255,0.02,210.0
j_783,7,252,0.08,840.0
j_783,8,255,0.02,20.0
j_783,5,31,0.52,60.0
j_783,8,255,0.02,20.0
j_783,6,48,0.43,60.0
j_783,6,49,0.42,60.0
j_783,9,256,0.03,60.0
j_783,6,47,0.45,50.0
j_783,9,256,0.02,60.0
j_783,5,32,0.5,60.0
j_783,4,10,1.41,80.0
j_783,7,254,0.08,840.0
j_783,9,256,0.03,60.0
j_783,3,242,0.56,240.0
j_783,8,255,0.02,20.0
j_783,8,255,0.01,20.0
j_66,1,10,0.81,40.0
j_66,2,2,0.78,30.0
j_66,1,10,0.84,40.0
j_66,1,10,0.85,40.0
j_66,3,9,0.94,30.0
j_66,1,10,0.81,40.0
j_49,5,52,1.49,480.0
j_49,6,278,0.83,100.0
j_49,7,287,0.1,100.0
j_49,6,287,0.76,100.0
j_49,7,287,0.02,180.0
j_49,7,287,0.02,50.0
j_49,2,1,0.69,20.0
j_49,6,276,0.88,250.0
j_49,4,0,0.48,30.0
j_49,3,0,0.8,20.0
j_49,1,1,0.79,20.0
j_79,7,5,0.56,350.0
j_79,7,5,0.56,340.0
j_79,2,1,0.21,30.0
j_79,4,3,0.47,30.0
j_79,8,6,0.11,60.0
j_79,1,1,0.29,30.0
j_79,8,6,0.12,60.0
j_79,3,2,0.33,30.0
j_79,8,6,0.12,60.0
j_79,7,5,0.6,340.0
j_79,8,6,0.12,60.0
j_79,5,1,1.08,20.0
j_79,6,3,0.84,110.0
j_79,4,5,0.67,30.0
j_79,4,3,0.51,20.0
j_79,8,6,0.12,60.0
j_79,8,6,0.12,60.0
j_79,8,5,0.11,60.0
j_293,8,1,0.54,20.0
j_293,3,1,0.73,20.0
j_293,6,1,0.64,30.0
j_293,7,1,0.41,20.0
j_293,6,1,0.6,20.0
j_293,3,1,0.75,20.0
j_293,9,1,0.32,40.0
j_293,7,1,0.44,20.0
j_293,1,1,0.78,20.0
j_293,7,1,0.42,20.0
j_293,6,1,0.79,20.0
j_293,3,1,0.69,20.0
j_293,7,1,0.47,20.0
j_293,7,1,0.41,20.0
j_293,5,1,0.82,20.0
j_293,4,1,0.83,20.0
j_293,7,1,0.4,20.0
j_293,7,1,0.42,20.0
j_293,2,1,0.86,20.0
j_230,4,3,0.38,420.0
j_230,3,2,0.65,30.0
j_230,9,6,0.1,100.0
j_230,9,6,0.09,100.0
j_230,8,6,0.36,600.0
j_230,8,6,0.34,640.0
j_230,9,6,0.11,100.0
j_230,1,2,0.5,20.0
j_230,5,1,0.77,20.0
j_230,8,6,0.5,770.0
j_230,9,6,0.1,100.0
j_230,9,6,0.11,150.0
j_230,8,6,0.32,690.0
j_230,2,3,0.93,30.0
j_230,4,3,0.39,610.0
j_230,4,3,0.39,420.0
j_230,8,6,0.35,640.0
j_230,9,6,0.1,120.0
j_230,7,5,0.62,30.0
j_230,6,4,0.85,140.0
j_230,9,6,0.1,120.0
